Partlist

Exported from F030_R01.sch at 31.10.2019 12:09

EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value              Device                         Package            Library      Sheet
C122     100n               C-EUC0805                      C0805              rcl          16
C123     47p                C-EUC0805                      C0805              rcl          16
C124     1u                 C-EUC0805                      C0805              rcl          16
C125     47p                C-EUC0805                      C0805              rcl          16
C126     47p                C-EUC0805                      C0805              rcl          16
C127     47p                C-EUC0805                      C0805              rcl          16
C128     100n               C-EUC0805                      C0805              rcl          16
C129     100n               C-EUC0805                      C0805              rcl          16
C130     100n               C-EUC0805                      C0805              rcl          16
C131     22p                C-EUC0805                      C0805              rcl          16
C132     22p                C-EUC0805                      C0805              rcl          16
C133     22p                C-EUC0805                      C0805              rcl          16
C134     22p                C-EUC0805                      C0805              rcl          16
C135     100n               C-EUC0805                      C0805              rcl          16
C136     100n               C-EUC0805                      C0805              rcl          16
C137     100n               C-EUC0805                      C0805              rcl          16
C138     100n               C-EUC0805                      C0805              rcl          16
C139     100n               C-EUC0805                      C0805              rcl          16
C140     100n               C-EUC0805                      C0805              rcl          16
C141     100n               C-EUC0805                      C0805              rcl          16
C142     100n               C-EUC0805                      C0805              rcl          16
C143     100n               C-EUC0805                      C0805              rcl          16
C144     100n               C-EUC0805                      C0805              rcl          16
C145     100n               C-EUC0805                      C0805              rcl          16
C146     100n               C-EUC0805                      C0805              rcl          17
C147     100u               CPOL-EUE2.5-6                  E2,5-6             rcl          17
C148     22n                C-EUC0805                      C0805              rcl          18
C149     100n               C-EUC0805                      C0805              rcl          18
C150     1u                 C-EUC0805                      C0805              rcl          18
C151     1u                 C-EUC0805                      C0805              rcl          18
C152     1u                 C-EUC0805                      C0805              rcl          18
C153     100n               C-EUC0805                      C0805              rcl          18
C154     100n               C-EUC0805                      C0805              rcl          18
C155     100n               C-EUC0805                      C0805              rcl          18
C156     1u                 C-EUC0805                      C0805              rcl          18
C157     10n                C-EUC0805                      C0805              rcl          19
C158     10n                C-EUC0805                      C0805              rcl          19
C159     470n               C-EUC0805                      C0805              rcl          19
C160     10u                CPOL-AUDIOE2,5/6               E2,5-6             rcl          19
C161     100n               C-EUC0805                      C0805              rcl          19
C162     470n               C-EUC0805                      C0805              rcl          19
C163     10n                C-EUC0805                      C0805              rcl          19
C164     470n               C-EUC0805                      C0805              rcl          19
C165     470n               C-EUC0805                      C0805              rcl          19
C166     680p               C-EUC0805                      C0805              rcl          19
C167     100n               C-EUC0805                      C0805              rcl          19
C168     680p               C-EUC0805                      C0805              rcl          19
C169     100n               C-EUC0805                      C0805              rcl          19
C170     2n2                C-EUC0805                      C0805              rcl          19
C171     2n2                C-EUC0805                      C0805              rcl          19
C172     10u                CPOL-AUDIOE2,5/6               E2,5-6             rcl          19
C173     100n               C-EUC0805                      C0805              rcl          20
C174     100n               C-EUC0805                      C0805              rcl          20
C175     0.33u              CPOL-AUDIOE2,5/6               E2,5-6             rcl          20
C176     0.33u              CPOL-AUDIOE2,5/6               E2,5-6             rcl          20
C177     100n               C-EUC0805                      C0805              rcl          20
C178     100n               C-EUC0805                      C0805              rcl          20
C179     1u                 CPOL-AUDIOE2,5/6               E2,5-6             rcl          20
C180     100n               C-EUC0805                      C0805              rcl          20
C181     100n               C-EUC0805                      C0805              rcl          20
C182     100p               C-EUC0805                      C0805              rcl          20
C183     100p               C-EUC0805                      C0805              rcl          20
C184     1u                 CPOL-AUDIOE2/5                 E2-5               rcl          20
C185     1u                 CPOL-AUDIOE2/5                 E2-5               rcl          20
C186     100n               C-EUC0805                      C0805              rcl          20
C187     100n               C-EUC0805                      C0805              rcl          20
C188     47u                CPOL-AUDIOE5/10                E5-10,5            rcl          20
C189     100n               C-EUC0805                      C0805              rcl          21
C190     100n               C-EUC0805                      C0805              rcl          21
C191     20p                C-EUC0805                      C0805              rcl          21
C192     20p                C-EUC0805                      C0805              rcl          21
C194     100n               C-EUC0805                      C0805              rcl          21
C195     1u                 C-EUC0805                      C0805              rcl          21
C196     10n                C-EUC0805                      C0805              rcl          22
C197     100n               C-EUC0805                      C0805              rcl          22
C198     10n                C-EUC0805                      C0805              rcl          22
C199     10u                CPOL-EUE2-5                    E2-5               rcl          22
C200     330u lowESR        CPOL-EUE3.5-10                 E3,5-10            rcl          22
C201     330u lowESR        CPOL-EUE3.5-10                 E3,5-10            rcl          22
C202     22uF T             CPOL-EUSMCC                    SMC_C              rcl          22
C203     100u lowESR        CPOL-EUE2.5-6                  E2,5-6             rcl          22
C204     100u lowESR        CPOL-EUE2.5-6                  E2,5-6             rcl          22
C205     1u                 C-EUC0805                      C0805              rcl          22
C206     100u               CPOL-EUE2.5-6                  E2,5-6             rcl          22
D1       1N914              DIODE-SOD323-R                 SOD323-R           diode        1
D2       1N914              DIODE-SOD323-R                 SOD323-R           diode        3
D3       1N914              DIODE-SOD323-R                 SOD323-R           diode        8
D4       SM5817             SM5817-DO                      DO213AB            F030NG       22
D5       SM5817             SM5817-DO                      DO213AB            F030NG       22
D6       1N914              DIODE-SOD323-R                 SOD323-R           diode        10
F1       15V/0.5A           F-1210                         1210               F030NG       17
F2       6V/0.5A            F-1210                         1210               F030NG       22
FB1                         FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       1
FB2                         FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       1
FB3                         FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       1
FB4                         FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       5
FB6                         FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       10
FB7                         FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       10
FB8                         FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
FB9                         FB_1806(WB/HS)                 WE-1806(W=5.5)     F030NG       17
